Store,Phone,owner/manager's name,notes,Status,CONSOLIDATED_emails_valid,result,BEST_province,BEST_city,BEST_street,BEST_postal_code,INFO_email_status,emails/0,emails/1,email_found,domain,website,location/lat,location/lng,facebooks/0,instagrams/0,tiktoks/0,youtubes/0,
Big Paw Pet Feed,613-389-9152,,Spoke to someone and said I've already sent an email,Qualified,,,ON,Kingston,1786 Bath Road Plaza #33,K7M 4Y2,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.2382098,-76.576958",,,,,,,
Bloomingtails Pet Boutique,519-601-5272,Lara,Spoke with Natalie (employee). Owner's schedule is inconsistent. Advised to send an email. Email risky. Didn't send,Qualified,info@bloomingtailsoflondon.ca,risky,ON,London,6 Stanley St,N6C 1A8,,,,info@bloomingtailsoflondon.ca,bloomingtailsoflondon.ca,,,,,,,,
Blue Barn Pet & Hobby Farm,778-460-2583,Kris,Spoke with employee Tara - Provided Kris contact - 7784605555 (Mon - Fri 4- 4:30 PM),Qualified,kris@bluebarnpet.com,ok,BC,Castlegar,1965 6th Ave,V1N 4W2,good,kris@bluebarnpet.com,,,bluebarn.shop,,,,,,,,
Bone & Biscuit,604-431-3366,Nicole - Manager,Asked for info via email,Qualified,stationsquare@theboneandbiscuit.com,ok,BC,Burnaby,6026 Mckay Ave,V5H 2B1,good,stationsquare@theboneandbiscuit.com,,,boneandbiscuit.ca,,,,,,,,
Bone & Biscuit Company,"905-713-3603, 905-727-1371",Lauren - Manager,Spoke with Hannah. Manger will be in the shop at Saturday or Wed,Qualified,aurora@theboneandbiscuit.com,ok,ON,Aurora,14889 Yonge Street,L4G 1M9,good,aurora@theboneandbiscuit.com,,,,"https://maps.google.com/maps?q=43.991179,-79.4651589",,,,,,,
Bone Appetit Kane Road,250-862-2663,,Spoke to John. Provided email. Busy. Asked to call back,Qualified,boneappetitkelowna@icloud.com,ok,BC,Kelowna,1940 Kane Rd #111,V1V 2J9,,,,UNREACHABLE,boneappetitglenmore.ca,,,,,,,,
Bones Pet Stores,"604-877-4331, 604-800-0238",Jayson and Andre - co owners,VM,Qualified,"info@bonesps.com, kits@bonesps.com",ok,BC,Vancouver,1171 Thurlow St,V6K 2B4,good,info@bonesps.com,kits@bonesps.com,,bonesps.com,,,,,,,,
Bouchie Lake Country Store,250-249-0228,Steven,"Kris (employee). Manager is in on Thurs, 2nd sats. Provided emaill. Email sent",Qualified,blcountrystore@shaw.ca,ok,BC,Quesnel,2338 Bonny Road,V2J7E5,,,,INVALID_URL,,https://www.facebook.com/BLCountryStore/,,,,,,,
Buckerfield's,"250-748-8171, 250-248-3243",Danny Bowbyes - handles orders. Oscar Payne - Pet Catalog Specialist ,Spoke with JM. Gave info about team who handles orders. Sent email to Danny,Qualified,danny.bowbyes@buckerfields.ca,ok,BC,Duncan,5410 Trans Canada Highway,V9L 6W4,,,,UNREACHABLE,buckerfields.org,,,,,,,,
Carlisle Pet Food,289-895-7490,Dave,"John. Tomorrow, ",Qualified,carlislepetfoods@gmail.com,ok,ON,Carlisle,"1462 Centre Rd, Unit 1",L0R 1H0,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.3938751,-79.9794939",,,,,,,
Central Alberta Co-Op Home & Agro,403-227-4999,Nick,Call was transfered to owner to was sent to VM. Call back,Qualified,,,AB,Innisfail,5008 44Ave,T4C 1P7,,,,NONE_FOUND,centralalbertaco-op.crs,,,,,,,,
Chow Bella,403-982-9979,Kristal,Spoke with Lexi (employee) Kristal is in by Monday. Provided her email kristal@chowbellapets.com,Qualified,"hello@chowbellapets.com, kristal@chowbellapets.com",ok,AB,Okotoks,"235 Milligan Dr., Suite 100",T1S 0B8,,,,hello@chowbellapets.com,chowbellapets.com,,,,,,,,
Cola Pet,416-906-2652,,Spoke with employee Jairue. Didn't provide owner name but provided email.,Qualified,colapetinc@gmail.com,ok,ON,North York,5465 Yonge St,M2N 5S1,good,colapetinc@gmail.com,,,colapet.ca,,43.7777112,-79.4147959,,https://www.instagram.com/colapetcanada,,,
Cosmopawlitan,416-598-4700,Vivian,Spoke with employee Richard. Email Sent,Qualified,info@cosmopawlitanpetboutique.ca,ok,ON,Toronto,478 Queens Quay W,M5V 2Y3,good,info@cosmopawlitanpetboutique.ca,,,cosmopawlitanpetboutique.ca,,43.6375197,-79.3937965,,https://www.instagram.com/cosmopawlitanpetboutique,,,
Country Club For Pets,519-461-1340,Christine,Spoke with Regen. Call back at 5:45,Qualified,kennel@countryclubforpets.com,catch_all,ON,Arva,21690 Clarke Rd,N0M 1C0,risky,kennel@countryclubforpets.com,,,countryclubforpets.com,,,,,,,,
Critter & Co. Pet Outpost - Downtown Toronto Pet Store,647-256-8996,Sol and Nicole,Spoke with employee Nicole. Owners does not come to the shop often. Suggested to send them an email,Qualified,"hello@critterpetoutpost.com, %20hello@critterpetoutpost.com",catch_all,ON,Toronto,1146 College St,M6H 1B6,risky,hello@critterpetoutpost.com,%20hello@critterpetoutpost.com,,critterpetoutpost.com,,43.6524889,-79.4339587,https://www.facebook.com/profile.php?id=61570059524411,https://www.instagram.com/critterpetoutpost,,,
Curious Tails Pet Supplies,403-885-0454,Joline,Spoke with the owner. Busy. Asked to have the email sent,Qualified,curioustailspetsupplies@gmail.com,ok,AB,Blackfalds,5037 Parkwood Road,T0M 0J0,good,curioustailspetsupplies@gmail.com,,,,"https://maps.google.com/maps?q=52.3812393,-113.7879772",,,,,,,
DESTINY PET,647-608-2375,,Cat Shop but does not speak english well (Answered the phone was Chinese),Qualified,,,ON,Scarborough,2 Select Ave Unit 8,M1V 5J4,,,,NONE_FOUND,destinypet.com,,43.8300266,-79.265495,,,,,
Dexters,403-775-4551,Drew,Spoke with Cayden (employee). Advised to send email. Does not have access and owner is not in shop,Qualified,bark@dexterspetshop.ca,ok,AB,Calgary,7019 Odgen Road,T2C 1B5,,,,bark@dexterspetshop.ca,dexterspetshop.ca,,,,,,,,
Downtown Pets & Aquarium,416-979-7978,Mary,Spoke with employee Jennifer. Only selling 1 kind of cat litter,Qualified,torontodowntownpets@gmail.com,ok,ON,Toronto,Spadina / Sullivan222 Spadina Ave. Unit C26,M5T 3B3,good,torontodowntownpets@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Downtown%20Pets%20%26%20Aquarium&query_place_id=ChIJuYKNcMM0K4gR8OvyT8iQn40,43.6511024,-79.3981461,,,,,
Dream Pet,"905-591-1273, 647-888-3232",,Email Sent,Qualified,sales.dreampet@gmail.com,ok,ON,Markham,"unit 5, 5 Hillcroft Dr unit 5",L3S 1R6,good,sales.dreampet@gmail.com,,,dreampets.ca,http://www.dreampet.ca/,43.8305747,-79.2799906,,,,,
Duke's Pet Food,905-425-3364,Lee,Africa,Qualified,dukespetfood@gmail.com,ok,ON,Whitby,"20 Broadleaf Ave, Unit 110",L1R 0B5,,,,dukespetfood@gmail.com,dukespetfoods.ca,,,,,,,,
Fairplay Stores,403-283-2117,Christine,"Spoke with David (employee). Owner is in tues - fri 10 - 5, currently sick.  fairplaypet@gmail.com. ",Qualified,fairplaypetsupply@gmail.com,,AB,Calgary,2604 Kensington Rd Nw,T2N 3S5,,,,fairplaypetsupply@gmail.com,fairplaystores.com,,,,,,,,
Fetch Haus,"403-346-9063, 403-598-3979",Cass,"Spoke with Bailey (employee). Provided owners contact 403-598-3979. tried to cal, VM",Qualified,,,AB,Red Deer,"Unit 3, 5571 45th Street",T4N 1L2,,,,UNREACHABLE,shop.fetchhaus.com,,,,,,,,
fetchy,416-551-9793,Brandon and Ioan,Owners never come to the shop,Qualified,support@fetchy.co,ok,ON,Toronto,4 Gladstone Ave,M6J 1J6,good,support@fetchy.co,,,fetchy.co,,43.6428739,-79.427392,,https://www.instagram.com/shopfetchy.co,,,
For Pet Sake,604-988-9912,Noam,Diane (Manager). Busy. Advised to send email. Email Sent,Qualified,forpetssakelonsdale@gmail.com,ok,BC,North Vancouver,109 1st Street E,V7L 1B2,,,,INVALID_URL,,"https://maps.google.com/maps?q=49.3115749,-123.0781985",,,,,,,
For Pet’s Sake,"250-245-2226, 250-758-5125",Jackie,Spoke to Hannah. Jackie is in shop Friday 10-2.,Qualified,forpetssakelady@gmail.com,ok,BC,Ladysmith,235-2000 N Island Hwy,V9G 1A5,,,,UNREACHABLE,forpetssake.etailpet.com,,,,,,,,
For Your Fur Kids,"519-956-7337, 519-966-1818",,Owner is not on this shop. Advised to contact other location. Will be in shop by Friday - contact 519-966-1818,Qualified,info@foryourfurkids.com,,ON,Windsor,9889 Tecumseh Rd E,N8R 1A5,,,,info@foryourfurkids.com,foryourfurkids.com,,,,,,,,
Forest Hill Pets,"416-485-4243, 669-156-6993",Caitlyn,,Qualified,foresthillpets2022@gmail.com,ok,ON,Toronto,446 Spadina Rd Unit 104,M5P 2W4,good,foresthillpets2022@gmail.com,,,foresthillpets.ca,,43.6889917,-79.4130988,,,,,
Four Paws Pet Grocery Store,250-656-5553,Christine Leeman and Vincent Denis,Spoke with Amanda (employee). Owners not in. Advised to send email. Email Sent,Qualified,barkmeowlove@gmail.com,ok,BC,Sidney,305-9810 Seventh Street,V8L 4W6,,,,UNREACHABLE,barkmeowlove.ca,,,,,,,,
Furballs Pet Stuff,647-352-6066,Maurine (Mau),Mau (owner) is available to talk tomorrow at 12 noon. Spoke with part time employee. Didn't get his name.,Qualified,,,ON,Toronto,1618 Gerrard St E,M4L 2A5,,,,NONE_FOUND,furballspetstuff.com,,43.672906,-79.31972,https://facebook.com/furballspet,https://www.instagram.com/furballspetstuff,,,
Furever Giving Pet Supply,604-474-2203,Angela,Employee did not give their name,Qualified,,,BC,Port Coquitlam,3310 Coast Meridian Road,V3B 3N5,,,,INVALID_URL,,"https://maps.google.com/maps?q=49.2727198,-122.7557048",,,,,,,
Furrmart Pet Supplies Inc,647-568-5106,Pruthu,Spoke with Owner. Interested to get the email,Qualified,furrmart99@gmail.com,ok,ON,Burlington,91 Plains Road East - C2,L7T 2C2,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.3093518,-79.8500325",,,,,,,
FURRR,416-902-8520,Scott,Email Sent,Qualified,hello@furrr.ca,catch_all,ON,Toronto,2207 Queen St E,M4E 1E8,risky,hello@furrr.ca,,,furrr.ca,,43.6706705,-79.2962925,,https://www.instagram.com/furrr.ca,,,
Fylo Pets,604-939-0636,Celeste - Manager,Busy. Advised to call back Monday,Qualified,,,BC,Coquitlam,"1960 Como Lake Avenue, Suite 142",V3J 3R3,,,,NONE_FOUND,fylopets.com,,,,,,,,
Gillmore's Feed Barn,613-821-0145,Tom,Spoke with Emma. Owner not in shop. Sent us an email. Replied,Qualified,feedbarn@rogers.com,ok,ON,Metcalfe,6844 Bank St.,K0A 2P0,,,,feedbarn@rogers.com,gillmoresfeedbarn.ca,,,,,,,,
Grindstone Pet Supplies,289-895-8099,Dave,Busy. Advised to send email. Email sent,Qualified,info@grindstonepets.ca,ok,ON,Waterdown,6 - 419 Dundas St East,L8B 0K4,,,,UNREACHABLE,grindstonepets.ca,,,,,,,,
Gus & Gigi's Pet Shoppe,705-784-9853,Tara,"gusandgigis@gmail.com, Jenn",Qualified,gusandgigis@gmail.com,ok,ON,Huntsville,131 Highway 60 Unit #12,P1H 1C2,,,,NONE_FOUND,gusandgigis.com,,,,,,,,
Happy Cat Feline Essentials,604-873-4141,Nina or Rose,Spoke with Amy. Owner won't have time to take call. Advised to send email. Email Sent,Qualified,info@happycatvancouver.com,risky,BC,Vancouver,4171 Fraser St,V5V 4E9,,,,INVALID_URL,,https://www.facebook.com/happycatvancouver/,,,,,,,
HappyPets Pantry,416-923-8888,Sam,,Qualified,contact@HappyPetsPantry.com,ok,ON,Toronto,563 Sherbourne St,M4X 1W7,good,contact@HappyPetsPantry.com,,,happypetspantry.com,,43.6696303,-79.3755191,https://www.facebook.com/HappyPetsPantry,https://www.instagram.com/happypetspantry,https://www.tiktok.com/@happypetspantry,,
Healthy Pets,"613-345-2710, 613-258-5744",Alex,Spoke with Alex. Will look into the email,Qualified,healthypetsbrockville@gmail.com,ok,ON,Brockville,111 Prescott Street,K6V 3R5,,,,NONE_FOUND,healthypetsboutique.ca,,,,,,,,
Healthy Spot,250-545-9000,Kari,Spoke with Mike. Advised to call tomorrow in the morning - open at 9. ,Qualified,customercare@healthyspot.ca,ok,BC,Vernon,200-3115 48Th Ave,V1T 3R6,,,,UNREACHABLE,healthyspot.ca,,,,,,,,
Healthy Spot,"250-363-9797, 250-832-1966",John,Spoke to Joel (employee) Will have John call back. Provided email to send info to desiree@healthyspot.ca. Email sent,Qualified,desiree@healthyspot.ca,ok,BC,Salmon Arm,1516 Fairfield Road Unit 5,V1E 1T2,,,,NONE_FOUND,healthyspot.ca,,,,,,,,
Homes Alive,800-839-7232,,Leanne. Does not know exactly who the owner is. Have a few stores within CA. Email sent and was replied to that it is being forwarded to Manager.,Qualified,customerservice@homesalive.ca,risky,AB,Calgary,"6711 Maclean Trail SW, Unit 110",T2H 2T3,,,,INVALID_URL,,"https://maps.google.com/maps?q=50.8349263,-114.6213722",,,,,,,
Hoskin Feed And Country Store,519-657-1744,John,Spoke with John. Advised to send email,Qualified,john@hoskinfeed.ca,ok,ON,Komoka,171 Railway Ave,N0L 1R0,,,,NONE_FOUND,hoskinfeed.ca,,,,,,,,
IGA Windsor Park,"204-256-4633, 403-762-5378",Tom - Manager,Spoke with Mike (employee). Tom is in Thurs morning. Provided email but shows risky. Did not send email. Asked them to email first. Waiting,Qualified,"customer.helpline@sobeys.com,  iga9528windsorpark@sobeys.com",catch_all,MB,Winnipeg,650 Elizabeth Rd,R2J 1A4,risky,customer.helpline@sobeys.com,,,iga.ca,https://west.iga.ca/stores/windsor-park-iga/?utm_source=G&utm_medium=lpm&utm_campaign=Sobeys,49.870981,-97.090217,https://www.facebook.com/IGA-West-100621201763205,,,,
Indigo Petz,780-542-3596,Nicky,Spoke with Courtney (employee). Owner is busy. Advised to send email. Email sent,Qualified,indigo94@telus.net,ok,AB,Drayton Valley,5150 - 51 St,T7A 1S9,,,,INVALID_URL,,"https://maps.google.com/maps?q=53.223906,-114.982118",,,,,,,
J & J Pet Club,289-597-1311,Miru,,Qualified,"sales@jjpetclub.com, info@jjpetclub.com",ok,ON,Thornhill,2900 Steeles Ave E #38,L3T 7X1,good,sales@jjpetclub.com,info@jjpetclub.com,,jjpetclub.com,,43.812896,-79.3584963,https://www.facebook.com/jjpetclub,https://www.instagram.com/jjpetclub,,,
Juicy Pet,604-207-9011,Erica,Call got cut-off. Was able to give Owner name and email but not their name. Email Sent,Qualified,info@juicypet.ca,ok,BC,Richmond,Unit 214 5300 #3 Rd,V6X 2X9,,,,NONE_FOUND,juicypet.ca,,,,,,,,
Kat's Pet Supplies,705-503-2209,Kat,Spoke with Tammy (employee). Kat is on vacation for 2 weeks. Provided email,Qualified,kats_pets@outlook.com,ok,ON,Barrie,420 Leacock Drive,L4N 5G5,,,,kats_pets@outlook.com,katspets.ca,,,,,,,,
Kibbles & Biscuits,780-452-2206,Rob or Heather - managers,Already spoke to Kayla at a different location.,Qualified,info@kibblesandbiscuits.com,,AB,Edmonton,15511 118 Ave NW,T5V1C5,,,,info@kibblesandbiscuits.com,kibblesandbiscuits.com,,,,,,,,
Kibbles and Biscuits #2,587-415-4860,Rob or Heather - managers,Spoke with Kayla (employee). Managers are not in. Got our contact number and email. Will reach out,Qualified,,,AB,Edmonton,10838-124 Street NW,T5M 0H8,,,,INVALID_URL,,"https://maps.google.com/maps?q=53.5536884,-113.5361921",,,,,,,
Kincardine Country Depot,519-396-3451,Donna,Teresa (employee),Qualified,kincountrydepot@gmail.com,ok,ON,Kincardine,315 Hamilton Lane,N2Z 1E2,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.182322,-81.6322",,,,,,,
Knick Knack Paddywhack Pet Store,"416-519-2929, 416-699-9945",Abbey,Waiting for email response | Email field contained 'abbey.knickknackpaddywhack.ca' | Email field contained 'beaches.knickknackpaddywhack.ca',Qualified,,,ON,Toronto,1048 Kingston Rd,M4E 1T4,,,,NONE_FOUND,knickknackpaddywhack.ca,,43.6809097,-79.2844136,,https://instagram.com/knickknackpaddywhackdogs,,,
La Vita Luxury Pets,416-832-8803,Vania,Waiting for email response,Qualified,"info@lavitaluxurypets.com, info@lavitaluxurypet.com",ok,ON,Toronto,51 Wolseley St suite 106,M5T 1A4,good,info@lavitaluxurypets.com,info@lavitaluxurypet.com,,lavitaluxurypets.com,,43.6481218,-79.4023802,,https://www.instagram.com/lavita_luxurypets,,,
Langdon Community Pet Co.,403-936-0922,Connie,Email Sent,Qualified,info@langdoncommunitypetco.com,ok,AB,Langdon,"#110, 355 Centre Street",T0J 1X2,,,,INFO@LANGDONCOMMUNITYPETCO.COM,langdoncommunitypetco.com,,,,,,,,
Leaside Pets,416-546-3152,Selma,Email Sent,Qualified,leasidepets@gmail.com,ok,ON,Toronto,1542 Bayview Ave,M4G 3B6,good,leasidepets@gmail.com,,,leasidepets.com,,43.7046809,-79.3750939,,,,,
Liberty Pet Foods,431-554-5299,Sim,Spoke with Sim. Interested and asked email to be sent,Qualified,undeliverable        ,ok,ON,Aylmer,65 Talbot St W,N5H 1J6,,,,INVALID_URL,,"https://maps.google.com/maps?q=42.7732116,-80.9842798",,,,,,,
Little Stinkers,613-771-9479,Janine - co owner,Spoke with Janine. Asked to be sent an email,Qualified,info@littlestinkers.ca        ,,ON,Belleville,95 College St W,K8P 2G3,,,,INVALID_URL,,"https://maps.google.com/maps?q=44.1750168,-77.3964525",,,,,,,
Lobo’S Pet Palace,905-597-5626,,Busy. Call back,Qualified,,,ON,Thornhill,1450 Clark Ave. West,L4J 7R5,,,,UNREACHABLE,lobospetpalace.com,,,,,,,,
Magicare Pet Products,613-634-0106,Jen,,Qualified,zarko@kingston.net,catch_all,ON,Kingston,1786 Bath Rd,K7M 4Y2,risky,zarko@kingston.net,,,,https://www.google.com/maps/search/?api=1&query=Magicare%20Pet%20Products&query_place_id=ChIJW6xbov2s0kwRv5sbAliDO_c,44.2381556,-76.5769562,,,,,
Mantoulin Pet Supplies,705-377-4744,Ashley,Will send an email. Waiting,Qualified,,,ON,Mindemoya,2222 Hwy 551,P0P 1S0,,,,INVALID_URL,,"https://maps.google.com/maps?q=45.7332741,-82.1670501",,,,,,,
Maokids Pet Salon,365-398-7086,Krystal,Spoke with employee Melody. Suggested to sent an email,Qualified,"support@maokidspet.com, Maokids.retailer@gmail.com",ok,ON,North York,133 McMahon Dr,M2K 0E4,good,support@maokidspet.com,Maokids.retailer@gmail.com,,maokidspet.com,,43.7677981,-79.3712167,https://www.facebook.com/maokidspet,https://www.instagram.com/maokids_pet,https://www.tiktok.com/@maokidspet,https://www.youtube.com/@MaokidsPet,
Market Pet Shop,519-434-6224,Julia,"Spoke with Sadie (employee). Onwer is busy. Asked for our contact details and will call back. Did not provide email, does not know it",Qualified,service@atom.com,,ON,Komoka,26 Kilworth Park Drive,N0L 1R0,,,,service@atom.com,marketpet.com,,,,,,,,
Meco Pet,,,Qualified but no contact number,Qualified,,,MB,Winnipeg,3723 Portage Ave #1,R2Y 1M5,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Meco%20Pet&query_place_id=ChIJ4esNHSgN6lIRYbusnadm3DE,49.8819179,-97.3170387,,,,,
Meow Club,647-878-8509,Amy,Only Sell Tofu Litter. Spoke with Fifi. Texted Owners contact number 437-425-6188,Qualified,,,ON,Markham,4080 Steeles Ave E Unit 8,L3R 3N8,,,,INVALID_URL,,https://www.google.com/maps/search/?api=1&query=Meow%20Club&query_place_id=ChIJrQFp_ubV1IkRWW4UZNIMTvY,43.8227442,-79.313311,,,,,
Meow Woo Studio,416-580-2676,Sarah,Amy (employee) Owner is not in the shop. Will be by 9am. Will text their email address,Qualified,,,ON,Markham,401 Alden Road Unit 20,L3R 3L4,,,,INVALID_URL,,"https://maps.google.com/maps?q=43.83379,-79.3330894",,,,,,,
Mercado Pet,437-747-7456,Gabriella,Spoke with owner. Interested but do not sell a lot of litter. Waiting for email response,Qualified,hello@mercadopet.ca,ok,ON,Toronto,2741 Dundas St W,M6P 1Y1,good,hello@mercadopet.ca,,,mercadopet.ca,,43.6649621,-79.4606498,,http://instagram.com/mercado.pet.store,,https://www.youtube.com/@MercadoPetToronto,
MiHotel Cat Boarding,647-526-6431,,Spoke with Valerie. Did not provide name of the owner.,Qualified,info@mi-hotel.ca,ok,ON,Scarborough,40 Cowdray Ct Unit 2,M1S 1A1,good,info@mi-hotel.ca,,,mi-hotel.ca,,43.7802803,-79.2843485,,https://www.instagram.com/mihotel_ca,,,
Mister Pet,905-428-7168,Al,Spoke with Skye. Owner will be in the shop tomorrow 10 - 6,Qualified,Tested good,,ON,Ajax,105 Bayly Street West Unit #9,L1S 3V4,,,,INVALID_URL,https://web.facebook.com/MisterPetAjax/,"https://maps.google.com/maps?q=43.842531,-79.0249922",,,,,,,
Miuamy pet store,647-710-5588,Leo,Spoke with Owner. Can be contacted after 12 noon. Email Sent,Qualified,Miuamypets@gmail.com,ok,ON,Scarborough,3195 Sheppard Ave E,M1T 3K1,good,Miuamypets@gmail.com,,,,https://www.google.com/maps/search/?api=1&query=Miuamy%20pet%20store&query_place_id=ChIJ_U9MiCbT1IkRK8vWlNSaJtY,43.7774125,-79.3124892,,,,,
MollyWagz Pet Boutique,416-546-9249,Michelle,,Qualified,shop@mollywagz.com,catch_all,ON,Toronto,3023 Dundas St W,M6P 1Z4,risky,shop@mollywagz.com,,,mollywagz.com,,43.6652732,-79.4698148,,,,,
Moonlight Natural Pet Store,604-559-3680,Christine,Spoke with Chloe. Advised to send an email. Owner not in the shop,Qualified,contact@moonlightpetstore.com,ok,BC,Vancouver,935 E Hastings St,,good,contact@moonlightpetstore.com,,,www.moonlightpetstore.com,,,,,,,,
Mother Nature,604-485-9878,Sam,Carla (Manager). Email Sent,Qualified,mnature@shaw.ca,ok,BC,Powell River,7050 Duncan St,V8A 1V9,,,,NONE_FOUND,mother-nature.ca,,,,,,,,
Naturally Urban · Pet Store · To Your Door,604-738-3663,,"Did not provide name of managers, just asked to email",Qualified,info@naturallyurban.com,ok,BC,Vancouver,229 Keefer St,V6A 1V6,good,info@naturallyurban.com,,,nupetfooddelivery.com,,,,,,,,
Need Some Sun,519-630-8219,Chris,Julia,Qualified,marketpetkomoka@gmail.com,ok,ON,Mount Brydges,8942 Longwoods Road,N0L 1W0,,,,,needsomesun.com,,,,,,,,
Neigh-Barks Feed & Pet Supply,780-800-8031,Becky,"Spoke with Zoey (employee). Owner is not in. Sent us an email, responded to.",Qualified,info@neighbarks.com,ok,AB,Tofield,20422 Township Rd. 502,T0B 4J2,,,,"info.bc@neighbarks.com, info.sc@neighbarks.com, info.sp@neighbarks.com",neighbarks.com,,,,,,,,
Neigh-Barks Feed and Pet Supply,780-800-8031,Becky or Ed,"10 - 2. Mckenzie,",Qualified,info@neighbarks.com,ok,AB,Kingman,20422 Township Rd 502,T0B 2M0,,,,"info.bc@neighbarks.com, info.sc@neighbarks.com, info.sp@neighbarks.com",neighbarks.com,,,,,,,,
Nelson Farmers Supply Ltd,250-352-5375,Erin,Provided email. Email Sent,Qualified,erin.nelfarm@telus.net,ok,BC,Nelson,524 Railway Street,V1L 1H4,,,,INVALID_URL,,"https://maps.google.com/maps?q=49.488544,-117.298908",,,,,,,
NHV Natural Pet Products,877-937-4372,,Spoke with Barbara. Was advised to send an email and she will forward it to the boutique. Contact 7789291574,Qualified,info@nhvnaturalpetproducts.com,ok,BC,Vancouver,1574 W 6th Ave 2nd Floor,,good,info@nhvnaturalpetproducts.com,,,www.nhvnaturalpetproducts.com,,,,,,,,
Noah's Pet Ark,604-736-9517,Graham,Spoke with Graham. Advised to send them an email.,Qualified,noahspetark@gmail.com,ok,BC,Vancouver,2886 W Broadway,,good,noahspetark@gmail.com,,,noahspetark.ca,,,,,,,,
One De Fur Pets Spa - Richmond,604-370-9555,Bobo,Vivian (emplyee). Owner in on Saturday. Advised to call back,Qualified,,,BC,Richmond,140 - 10880 NO. 5 Road,V6W 0B3,,,,INVALID_URL,,"https://maps.google.com/maps?q=49.133885,-123.090994",,,,,,,
Ospika Pet & Farm Supply',250-563-1993,Tara,Spoke to Taryn. Advised to send an email,Qualified,opfs@telus.net,ok,BC,Prince George,2392 Ospika Blvd,V2N 3N5,,,,opfs@telus.net,ospikapetandfarm.com,,,,,,,,
